country_name,reference_year,education_expenditure,secondary_enrollment_rate,child_out_of_school,expenditure_health,health_education_exp_ratio,education_health_index_male,education_health_index_female
Peru,2022,3.83315992355347,99.1219863891602,9176.0,6.0930872,1.59,74.31,78.04
Philippines,2023,3.62368631362915,92.8650157810305,1326378.0,5.10629606,1.41,62.12,67.62
Poland,2009,4.98976993560791,99.6487579345703,66145.0,6.587708,1.32,71.25,79.82
Portugal,2007,4.92147016525269,99.3079605102539,2190.0,9.25186634,1.88,74.68,81.04
Qatar,2014,3.60535001754761,99.3877182006836,7541.0,2.42293572,0.67,80.23,81.94
Romania,2021,3.32452988624573,86.1970901489258,92551.0,6.46980715,1.95,59.65,66.03
Russian Federation,2022,4.05402755737305,93.9353866577148,200116.0,6.91986275,1.71,63.47,73.05
Rwanda,2022,4.74623012542725,44.1547088623047,,7.8792119,1.66,28.81,30.74
Samoa,2016,4.34968376159668,84.4522508456935,271.895077207337,5.63950825,1.3,58.31,61.73
Sao Tome and Principe,2021,5.51617622375488,87.4154054386613,2074.0,7.85889721,1.42,56.53,62.92
Senegal,2022,5.98753976821899,46.9506912231445,741881.0,4.06358385,0.68,30.93,32.81
Serbia,2022,3.23938989639282,95.0849685668945,4384.0,9.65742779,2.98,69.13,74.07
Seychelles,2022,4.74013519287109,76.8818664550781,188.0,4.2375164,0.89,53.66,59.81
Sierra Leone,2021,9.44223594665527,70.7281265258789,,8.55334377,0.91,41.57,43.67
Slovak Republic,2021,4.79718017578125,91.0899124145508,10060.0,7.75624657,1.62,64.86,71.23
Slovenia,2012,5.62023019790649,98.1137313842773,2188.0,8.71509933,1.55,75.65,81.73
Solomon Islands,2010,7.47837018966675,48.3588485717773,,4.66450787,0.62,32.37,34.18
South Africa,2012,5.52323007583618,92.5222702026367,,8.00428867,1.45,54.32,59.61
Sri Lanka,2022,1.20397222042084,89.4825170896809,16580.5339126869,4.36269855,3.62,66.25,71.99
St. Lucia,2022,3.69847011566162,88.1037292480469,311.0,5.01938295,1.36,61.03,67.23
Sudan,2009,2.02213001251221,42.2509117126465,,6.39496326,3.16,25.46,27.62
Suriname,2021,4.13154983520508,65.6098480224609,12589.0,5.46009398,1.32,43.33,47.33
Switzerland,2012,4.89862012863159,98.3727416992188,6515.0,10.34784985,2.11,79.29,83.52
Syrian Arab Republic,2009,5.13013982772827,72.8768615722656,24110.0,3.5464704,0.69,52.14,55.1
Tajikistan,2022,5.71509790420532,89.261589657007,,7.62917423,1.33,61.88,65.85
Tanzania,2021,3.11515331268311,27.9080696105957,1745627.0,3.47258258,1.11,17.64,19.28
Thailand,2013,3.82439851760864,84.6712265014648,,3.45313334,0.9,60.97,67.83
Timor-Leste,2020,3.65287351608276,85.2118561659316,9244.0,9.93865013,2.72,55.5,58.69
Togo,2021,4.23118162155151,64.290901184082,13619.0,5.6165967,1.33,39.25,39.6
Tonga,2022,5.64619207382202,96.996718063038,354.147633744855,8.13607597,1.44,67.08,73.89
Tunisia,2015,6.22044992446899,86.7649536132812,9608.0,6.21339941,1.0,62.86,67.16
Turkiye,2012,4.38721990585327,85.0204315185547,,4.44444656,1.01,61.62,67.01
Turkmenistan,2022,3.73386001586914,95.6963424682617,,5.37103748,1.44,63.81,69.55
Uganda,2017,2.25363993644714,24.0003346678213,966780.0,3.99852037,1.77,14.98,16.28
Ukraine,2021,5.14011001586914,84.6516265869141,299855.0,8.2027483,1.6,56.82,64.36
United Arab Emirates,2020,3.98417997360229,83.4686508178711,88191.0,5.82477045,1.46,67.44,70.03
United Kingdom,2012,5.57887411117554,92.5028686523438,81789.0,9.89160061,1.77,73.17,76.59
United States,2018,4.89502000808716,99.2755813598633,141533.0,16.61530876,3.39,75.65,80.61
Uruguay,2000,2.42254996299744,96.8511276245117,,9.17182446,3.79,68.42,76.38
Uzbekistan,2022,5.23477172851562,86.9214392685034,107838.0,7.36325455,1.41,60.0,65.49
Vanuatu,2022,10.7033452987671,75.422961043339,4160.0,4.14742947,0.39,52.26,55.63
Viet Nam,2022,2.88738679885864,97.2494761123623,,4.58891582,1.59,67.84,77.03
West Bank and Gaza,2021,5.43442010879517,90.1905136108398,41961.0,10.4347353,1.92,64.48,68.94
"Yemen, Rep.",2012,5.46478986740112,43.2479400634766,926916.0,5.19593525,0.95,28.35,30.1
Zimbabwe,2013,5.99597978591919,51.8495788574219,163860.0,7.10940313,1.19,28.72,30.16
